filename,dice_score,ce_loss,iou
pic_out0.jpg,0.4515,0.3179,0.9337
pic_out1.jpg,0.4511,0.3188,0.9205
pic_out10.jpg,0.4517,0.3166,0.9526
pic_out11.jpg,0.4514,0.3176,0.9371
pic_out12.jpg,0.4512,0.3181,0.9311
pic_out13.jpg,0.4518,0.3173,0.9426
pic_out14.jpg,0.4521,0.3159,0.9617
pic_out15.jpg,0.4512,0.3178,0.9361
pic_out16.jpg,0.451,0.3183,0.9287
pic_out17.jpg,0.4506,0.3193,0.9145
pic_out18.jpg,0.451,0.3177,0.9361
pic_out19.jpg,0.4507,0.3192,0.9147
pic_out2.jpg,0.4519,0.3161,0.9598
pic_out20.jpg,0.4504,0.3218,0.8773
pic_out21.jpg,0.451,0.3188,0.9217
pic_out22.jpg,0.4501,0.322,0.8746
pic_out23.jpg,0.4505,0.3202,0.8999
pic_out24.jpg,0.4513,0.3209,0.8855
pic_out25.jpg,0.4506,0.3203,0.8973
pic_out26.jpg,0.4504,0.329,0.7855
pic_out27.jpg,0.4516,0.3176,0.9379
pic_out28.jpg,0.4555,0.3313,0.7768
pic_out29.jpg,0.4504,0.32,0.9037
pic_out3.jpg,0.4493,0.3247,0.8366
pic_out30.jpg,0.4508,0.319,0.9185
pic_out31.jpg,0.4514,0.3178,0.9333
pic_out32.jpg,0.4509,0.319,0.9174
pic_out33.jpg,0.4505,0.3202,0.902
pic_out34.jpg,0.4502,0.3203,0.9001
pic_out35.jpg,0.4509,0.3187,0.9226
pic_out36.jpg,0.4507,0.319,0.9184
pic_out37.jpg,0.451,0.3194,0.9104
pic_out38.jpg,0.4511,0.3182,0.9289
pic_out39.jpg,0.4507,0.3192,0.9155
pic_out4.jpg,0.4502,0.3205,0.8955
pic_out40.jpg,0.4511,0.3203,0.8979
pic_out41.jpg,0.4514,0.3218,0.873
pic_out42.jpg,0.4509,0.3192,0.9144
pic_out43.jpg,0.4506,0.3201,0.9028
pic_out44.jpg,0.4505,0.3195,0.911
pic_out45.jpg,0.4505,0.3199,0.9067
pic_out46.jpg,0.4508,0.3188,0.9213
pic_out47.jpg,0.4513,0.3183,0.9274
pic_out48.jpg,0.4516,0.3175,0.9387
pic_out49.jpg,0.451,0.3186,0.9243
pic_out5.jpg,0.4503,0.3253,0.8296
pic_out50.jpg,0.4514,0.3179,0.9323
pic_out6.jpg,0.452,0.3159,0.9614
pic_out7.jpg,0.4515,0.3194,0.9096
pic_out8.jpg,0.4518,0.3166,0.9523
pic_out9.jpg,0.4517,0.3176,0.9348
